Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Stateful Mobile Modules for Sensor Networks","Distributed Computing in Sensor Systems","","","","10.1007/978-3-642-13651-1_5","Moritz StrübeRüdiger KapitzaKlaus StengelMichael DaumFalko Dressler","2010","http://link.springer.com/chapter/10.1007/978-3-642-13651-1_5","Chapter"
"Communities: Concept-Based Querying for Mobile Services","Global Computing","","","","10.1007/978-3-540-31794-4_4","Chara SkouteliChristoforos PanayiotouGeorge SamarasEvaggelia Pitoura","2005","http://link.springer.com/chapter/10.1007/978-3-540-31794-4_4","Chapter"
"Functional-Logic Programming for Web Knowledge Representation, Sharing and Querying","Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-319-13704-9_26","Matthias Nickles","2014","http://link.springer.com/chapter/10.1007/978-3-319-13704-9_26","Chapter"
"Learning Query Ambiguity Models by Using Search Logs","Journal of Computer Science and Technology","","25","4","10.1007/s11390-010-9360-y","Ruihua SongZhicheng DouHsiao-Wuen HonYong Yu","2010","http://link.springer.com/article/10.1007/s11390-010-9360-y","Article"
"Counterexample Guided Spotlight Abstraction Refinement","Formal Techniques for Networked and Distributed Systems – FORTE 2008","","","","10.1007/978-3-540-68855-6_2","Tobe Toben","2008","http://link.springer.com/chapter/10.1007/978-3-540-68855-6_2","Chapter"
"Enhancing Social Search: A Computational Collective Intelligence Model of Behavioural Traits, Trust and Time","Transactions on Computational Collective Intelligence II","","","","10.1007/978-3-642-17155-0_3","Luca LongoPierpaolo DondioStephen Barrett","2010","http://link.springer.com/chapter/10.1007/978-3-642-17155-0_3","Chapter"
"Overview of the S3 Contest: Performance Evaluation of Semantic Service Matchmakers","Semantic Web Services","","","","10.1007/978-3-642-28735-0_2","Matthias Klusch","2012","http://link.springer.com/chapter/10.1007/978-3-642-28735-0_2","Chapter"
"OPOSSUM: Indexing Techniques for an Order-of-Magnitude Improvement of Service Matchmaking Times","Semantic Web Services","","","","10.1007/978-3-642-28735-0_4","Eran Toch","2012","http://link.springer.com/chapter/10.1007/978-3-642-28735-0_4","Chapter"
"FASTDB: An Array Database System for Efficient Storing and Analyzing Massive Scientific Data","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-27161-3_55","Hui LiNengjun QiuMei ChenHongyuan LiZhenyu DaiMing ZhuMenglin Huang","2015","http://link.springer.com/chapter/10.1007/978-3-319-27161-3_55","Chapter"
"An Efficient Packing Algorithm for Spatial Keyword Queries","Convergence and Hybrid Information Technology","","","","10.1007/978-3-642-32645-5_70","Jinkun PanDongsheng LiLiming Li","2012","http://link.springer.com/chapter/10.1007/978-3-642-32645-5_70","Chapter"
"ECS: A Framework for Diversified and Relevant Search in the Internet of Things","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26190-4_30","Ali ShemshadiLina YaoYongrui QinQuan Z. ShengYihong Zhang","2015","http://link.springer.com/chapter/10.1007/978-3-319-26190-4_30","Chapter"
